Topic,Ancestors (or null),Synonym (Optional)
Animal Care,Animals,Pet Care
Animals,Biology,
Art & Craft,All,
Auto care,Automotive,
Automotive,Mechanical Engineering,
Beauty & Personal Care, All,
Biology,Science & Technology,
Brewing,Food & Drink,
Business & Finance, All,
Business Services,Business & Finance,
Car electrical,Automotive,
Cheesemaking,Food & Drink,
Cooking & Baking,Food & Drink,
Cosmetology,Beauty & Personal Care,
Digital Photography,Photography,
Dog grooming,Animal Care,
Drywall,Home Improvement,
Dyeing Hair,Beauty & Personal Care,
Dyeing Hair,Hair care,
Economics, Business & Finance,
Engineering, Science & Technology, Electronics
Fiber Arts,Art & Craft,
Food & Drink,All,
Garment making,Sewing,
Herbology,Plants & Gardening,
Home & Garden,All,
Home Electrical,Home Improvement,
Home Improvement,Home & Garden,
Instrument building/repair,Art & Craft,
Kambucha,Brewing,
Languages,Learning,
Learning,All,
Mixed Media,Visual Art,
Native plants,Plants & Gardening,
Notary,Business Services,
Obedience training,Animal Care,
Painting,Visual Art,
Personal Growth, Learning,
Photography,Visual Art,
Plants & Gardening,Biology,
Plumbing,Home Improvement,
Quilting,Sewing,
Roofing,Home Improvement,
Science & Technology, All,
Sewing,Fiber Arts,
Soap making,Art & Craft,
Tree service,Plants & Gardening,
Visual Art,Art & Craft,
Watercolors,Painting,
Wood carving,Woodworking,
Woodworking,Art & Craft,
Home Cooking,Cooking & Baking,
Weeknight Meals,Cooking & Baking,
Meal Planning,Food & Drink,
Food Storage,Food & Drink,
Cooking for Kids,Cooking & Baking,Kids Meals
Budget Cooking,Cooking & Baking,
Drawing,Art & Craft,
Knitting,Fiber Arts,
DIY,Art & Craft,
Crafting with Kids,Art & Craft,Kids Crafts
Dog Training,Animal Care,
Cat Care,Animal Care,
Pet Sitting,Animal Care,
Car Maintenance,Automotive,
Oil Changes,Car Maintenance,
Tire Care,Car Maintenance,
Car Cleaning,Car Maintenance,
Hair Care,Beauty & Personal Care,
Skincare Routines,Beauty & Personal Care,
Nail Care,Beauty & Personal Care,
At-Home Haircuts,Beauty & Personal Care,
Personal Budgeting,Business & Finance,
Side Hustles,Business & Finance,
Taxes,Business & Finance,
Saving Money,Business & Finance,
Mechanical Engineering, Engineering,
