Topic,Ancestors (or null),Descendants (or null),Synonym (Optional)
Animal Care,,"Dog grooming, Obedience training",
Art,,Visual Art,
Automotive,,"Auto care, Car electrical",
Beauty,,"Cosmetology, Dyeing Hair",
Business Services,,Notary,
Craft,,"Fiber Arts, Soap making, Woodworking",
Food & Drink,,"Baking, Brewing, Cheesemaking, Cooking",
Home Improvement,,"Drywall, Home Electrical, Plumbing, Roofing",
Learning,,Languages,
Music,,Instrument building/repair,
Plants & Gardening,,"Gardening, Herbology, Native plants, Tree service",
Technology,,Computer services,
Auto care,Automotive,,
Baking,Food & Drink,,
Brewing,Food & Drink,Kambucha,
Car electrical,Automotive,,
Cheesemaking,Food & Drink,,
Computer services,Technology,,
Cooking,Food & Drink,,
Cosmetology,Beauty,,
Dog grooming,Animal Care,,
Drywall,Home Improvement,,
Dying Hair,Beauty,,
Fiber Arts,Craft,Sewing,
Gardening,Plants & Gardening,,
Herbology,Plants & Gardening,,
Home Electrical,Home Improvement,,
Instrument building/repair,Craft,,
Languages,Learning,,
Native plants,Plants & Gardening,,
Notary,Business Services,,
Obedience training,Animal Care,,
Plumbing,Home Improvement,,
Roofing,Home Improvement,,
Soap making,Craft,,
Tree service,Plants & Gardening,,
Visual Art,Art,"Mixed Media, Painting, Photography",
Woodworking,Craft,Wood carving,
Kambucha,Brewing,,
Painting,Visual Art,Watercolors,
Photography,Visual Art,Digital Photography,
Sewing,Fiber Arts,"Garment making, Quilting",
Wood carving,Woodworking,,
Garment making,Sewing,,
Quilting,Sewing,,
